Park name	Visitors
Great Smoky Mountains National Park	"12,547,743"
Grand Canyon National Park	"5,974,411"
Rocky Mountain National Park	"4,670,053"
Zion National Park	"4,488,268"
Yosemite National Park	"4,422,861"
Yellowstone National Park	"4,020,288"
Acadia National Park	"3,437,286"
Grand Teton National Park	"3,405,614"
Olympic National Park	"3,245,806"
Glacier National Park	"3,049,839"
Joshua Tree National Park	"2,988,547"
Bryce Canyon National Park	"2,594,904"
Cuyahoga Valley National Park	"2,237,997"
Indiana Dunes National Park	"2,134,285"
Gateway Arch National Park	"2,055,309"
Death Valley National Park	"1,740,945"
Arches National Park	"1,659,702"
Mount Rainier National Park	"1,501,621"
Hot Springs National Park	"1,467,153"
Shenandoah National Park	"1,425,507"
Hawai'i Volcanoes National Park	"1,368,376"
Sequoia National Park	"1,246,053"
Capitol Reef National Park	"1,226,519"
Everglades National Park	"1,118,300"
Saguaro National Park	"1,020,226"
Haleakala National Park	"994,394"
Badlands National Park	"970,998"
Canyonlands National Park	"733,996"
Biscayne National Park	"708,522"
Crater Lake National Park	"704,512"
Theodore Roosevelt National Park	"691,658"
Glacier Bay National Park	"672,087"
Petrified Forest National Park	"643,588"
Kings Canyon National Park	"632,110"
Wind Cave National Park	"615,350"
White Sands National Park	"608,785"
Denali National Park	"601,152"
Mesa Verde National Park	"556,203"
Mammoth Cave National Park	"551,590"
Great Sand Dunes National Park	"527,546"
Lassen Volcanic National Park	"517,039"
Redwood National Park	"504,722"
Big Bend National Park	"463,832"
Carlsbad Caverns National Park	"440,691"
Black Canyon of the Gunnison National Park	"432,818"
Channel Islands National Park	"409,630"
Kenai Fjords National Park	"356,601"
Voyageurs National Park	"232,974"
Guadalupe Mountains National Park	"188,833"
Pinnacles National Park	"177,224"
Congaree National Park	"159,445"
Virgin Islands National Park	"133,398"
Great Basin National Park	"131,802"
Katmai National Park	"84,167"
Dry Tortugas National Park	"79,200"
Wrangell-St. Elias National Park	"74,518"
National Park of American Samoa	"60,006"
North Cascades National Park	"38,208"
Isle Royale National Park	"26,410"
Lake Clark National Park	"17,157"
Kobuk Valley National Park	"15,766"
Gates of the Arctic National Park	"10,518"
